seller_id,expected_deliver_diff_mean,expected_deliver_diff_count,order_shipped_days_mean,order_shipped_days_count
376d67b61dce0c990155286e7ae486a4,4,1,1,1
4003520d80d0bad1d5623f7aa3c63cda,4,1,1,1
45a3d05fb00435e52a28859dd03703b3,4,1,16,1
483ca627d131e18f988349b1655c0acd,4,1,6,1
5659d77e8d90378e39b960ad5956f64e,4,2,2.5,2
59de1d4c8c057c2a53acd4ca66531af2,4,1,7,1
6cf476a4ca74498db55cbccdaa9dcfb6,4,5,23,5
6d7f8d9d594e28796b6b3205b00f459c,4,3,5.333333333,3
6ebf4eceee4dd9847201c82e77ef8123,4,1,1,1
7b7ed56ae755e2880f2b69632e839c1e,4,5,1.2,5
8a207b6080964f3c1fc9d35bd6096ba4,4,2,2.5,2
8a8835a43bda99fd37310ad76c457510,4,2,3,2
97e50a621f8e801f4baf69e08687c192,4,1,6,1
aa2640d851ec322526f1295bbeb20092,4,1,2,1
bca9230d3bbb4efa51872bf605a2f1ad,4,5,4,5
bec568278124768c474ee90971ca94d1,4,1,0,1
c52c644cc0dc85121207a27013efc6af,4,1,3,1
c7fdb77fdbff3c41981bc52f787e959e,4,8,4.75,8
d3dcf0604eabf0224fbd5948b5e02f69,4,9,1.333333333,9
d8bf0fc082fd4a77fc2e5679b6c00133,4,1,0,1
d9b00a97818674c7f8d8b1ef0e689679,4,1,1,1
dedcab67899479e4ea5dcc4eba47f587,4,2,2,2
eb9cd5b35d95206585e2185318cb5c61,4,2,5,2
9bc484c87d79cd4874e05ca182658045,4.125,8,1.75,8
3dfd3dc96f7f8598eca74e9ac8a2fa31,4.2,5,2.4,5
6ee85be3693ed79a8e80718743d80655,4.2,5,17.4,5
a64e44665225d19dfc0277eeeaaccc57,4.2,5,2.4,5
2953ce3a88f5e3c3b696d77fc9e4c8eb,4.214285714,14,2.142857143,14
09883d9ab71c8fe8a9bfc7fc3075b07e,4.25,4,2,4
1d2732ef8321502ee8488e8bed1ab8cd,4.25,4,4.5,4
2b5ed0c9139dae8883a200dfcb272ece,4.25,4,3,4
ba6b4a237f92479743cf0ca06b67a9ac,4.25,8,1.75,8
c37b2059d4f90d4feead554e5246565e,4.272727273,11,5.909090909,11
c4fabeea6e569d42d02993bb1f4f1cbc,4.272727273,11,4.727272727,11
2c3d56f92f360fb89d849b84e8f50eae,4.285714286,7,1.714285714,7
2e7ea2aafec5835e781b21d6d1faf1f1,4.285714286,7,2,7
d20b021d3efdf267a402c402a48ea64b,4.2875,80,3.5875,80
f08c008c8a8d31417763738a1788a2a8,4.315789474,19,2.157894737,19
8e6d7754bc7e0f22c96d255ebda59eba,4.325,80,4.95,80
1bc2e21de46adfea6b98cc96b00f3b40,4.333333333,3,7,3
c3f5668699a1b04c0fa61ecea1e2bff6,4.333333333,3,1,3
4091f77d8c768fc3e81c20761471761d,4.375,8,1.75,8
7bac63f6603d382cc8d0832eb6c100a8,4.421052632,19,2.210526316,19
2d9e8987a2ea5cf88dce330249043ff1,4.5,2,1,2
513a54369b6a8a6602fcb0e129c6d78d,4.5,2,2,2
8fff28c4263ddec387f28d237fb42773,4.5,2,0,2
b37c4c02bda3161a7546a4e6d222d5b2,4.5,4,8.25,4
f3975e8a41157005d4bcbb358678cd9b,4.5,2,1.5,2
835f0f7810c76831d6c7d24c7a646d4d,4.536585366,41,9.341463415,41
7586919161935337bf6b6d7ff5779648,4.545454545,11,2.545454545,11
6e4a902d1054e4e17aa6eab87fac1c75,4.571428571,7,2.428571429,7
7daca0837f033a41a6f3428c18657533,4.571428571,7,4.714285714,7
04e38a233f726ef161074ab1c9b0399a,4.578947368,19,5,19
8b655f0855926bcb49f5835d38dfddf6,4.6,5,1.2,5
e819bcfade7b5d88a27325eb6cfd62c5,4.6,5,6.2,5
fa74b2f3287d296e9fbd2cc80f2d1cf1,4.6,5,18,5
b19f3ca2ea475913750f25a5c37c8d8f,4.611111111,18,11.72222222,18
7f152321c60a266edc53af1925ef96c1,4.631578947,19,3.526315789,19
323ce52b5b81df2cd804b017b7f09aa7,4.655172414,29,3.724137931,29
6ec1a01e866584bb679eb9b098345919,4.655172414,29,2,29
03bd479e1d9484cdb14104d3023f7321,4.666666667,3,4.666666667,3
c5f7feb04a6a1fb3596322bfc3cf1917,4.666666667,9,1.111111111,9
f6122bc84774df1b372bdb3bb88ddb9f,4.666666667,3,3,3
91f0eec23d4a61d7d7caeefa3f0ad1ca,4.727272727,11,1.272727273,11
1d1bbb8ac1581824986f582583fff01d,4.75,4,3.25,4
13fa2a6c6b9d0f43cb588d7c82117a12,4.777777778,9,4.888888889,9
2379bdc3888025689a9deb7b141507d5,4.777777778,9,3.444444444,9
05e107217c7266362fd44b75b2cd4cc4,4.8,5,1.8,5
397c4d0c005b6f41f90098ac724e28cb,4.8,5,4,5
35857757f553273b1056c1cabdace7fb,4.833333333,6,1.5,6
5b07547f10dd980738a1a27f685af669,4.846153846,13,2,13
656591be56071d4c9ef4e5fee78a578a,4.857142857,7,6.142857143,7
cac4c8e7b1ca6252d8f20b2fc1a2e4af,4.985714286,70,5.771428571,70
0af2ab31141893d26aca5a404a537dab,5,1,0,1
0b1ca3ef18a63d7eb0c8897fa0849c08,5,1,5,1
0d4c8269e7f0401201794deef160edd6,5,3,3,3
28405831a29823802aa22c084cfd0649,5,6,3.666666667,6
3442f8959a84dea7ee197c632cb2df15,5,3,4.333333333,3
3ac588cd562971392504a9e17130c40b,5,1,5,1
3e51f9cbe317bc3a88f2c76583811ee4,5,1,3,1
47648caee88ccfe951fbb27fbf7b4cbe,5,3,2.333333333,3
4e85b538b0dad58852641540686d0e14,5,4,5.25,4
5236605f4d4b0b3e4df85b850393fca0,5,5,3.2,5
5b35136197710e16ac5e7b7c2bd4ea85,5,7,2.428571429,7
5db42a6cd9bf1bf0d3aab9582767f168,5,1,2,1
5def4c3732941a971cba8fdee992ede1,5,5,0.2,5
69b5eaa096c3f9d1e5c398c597f567d6,5,2,1.5,2
6bd503a8230299c9316fb0f726933927,5,4,2,4
751e274377499a8503fd6243ad9c56f6,5,1,0,1
788f22bafdd7ab0e1e79f19db72f16a4,5,2,-0.5,2
7d81e74a4755b552267cd5e081563028,5,1,0,1
89dda63a3c907c468ec88c310ed91213,5,1,2,1
910a922b426b7ff95eaee129ad6c0e1f,5,2,2.5,2
9dd459b29a14bf89d47183cf2cd0e4c7,5,2,3.5,2
9fbd5666d8618fa571c4230fafa09bd6,5,1,6,1
a11a0e0ca67423425691db355cff69b0,5,2,0.5,2
a45314082d50d578a4721c9787ce09ab,5,2,1.5,2
a4fc6eadaff1576af888509a53420f6a,5,1,13,1
a7dc4098e4da6e41b426269d12ae7e91,5,2,3,2
b5dd7151a92ccaaa282cbe9681a05f44,5,1,7,1
b76f4d90e85657a240495c876313adc5,5,1,1,1
c24173065483e421f9e5e7f599de101d,5,9,6.555555556,9
cc1f04647be106ba74e62b21f358af25,5,1,5,1
dc120d932ddf9d4dfb6fd68beefda622,5,1,1,1
e3b4998c7a498169dc7bce44e6bb6277,5,1,3,1
f1fdf2d13186575751aa25876536d85c,5,1,3,1
fc0b214b59a83615fea981c6424a02ae,5,1,3,1
67883baaae6134ee81b271a542613728,5.105263158,19,0.368421053,19
a1bea7061f61f6fdd9a85a6325ba1033,5.111111111,9,0.777777778,9
f1b93673502375d491780bb49d615dbc,5.125,8,9.125,8
54583ab379489add547fe47b628db589,5.2,10,0.7,10
cd843d4cf8ef32827de0396605163ba3,5.2,5,4.8,5
0692610d8abe24f287e9fae90ea0bbee,5.25,4,4.25,4
5b581417df4480f632484ba681e53944,5.272727273,11,2.818181818,11
ea00f977a203ff88adf7057cb7806998,5.277777778,18,1.666666667,18
e3dd723429d1b23614b7fa85e2c7a853,5.285714286,7,3.428571429,7
02dcd3e8e25bee036e32512bcf175493,5.307692308,13,3.769230769,13
13dd308f81fea30cc670c656b2b46cc3,5.333333333,3,0.666666667,3
1dfe5347016252a7884b694d4f10f5c4,5.333333333,18,2.222222222,18
213fafb0ca06fb3d5886579c2565791b,5.333333333,3,0.333333333,3
8fec2e460530482132c436cfb5439925,5.333333333,3,2,3
9b1585752613ec342d03bbab9997ec48,5.333333333,3,1.666666667,3
c522be04e020c1e7b79f3acff36513d5,5.333333333,6,2.5,6
d149de2f383552baea37a7198c2296ce,5.333333333,3,1.666666667,3
f419677537694f0462a91990df6ca44f,5.333333333,6,7.166666667,6
411f3b52d857390502ee4e4d5ceabc2d,5.35,20,1.1,20
1b7e5006cb25dd23ce8686691013b121,5.363636364,11,6.727272727,11
b4b447d715f9ab302a188fb43d3e96b3,5.4,5,1.2,5
2156f2671501a81034d7d07f217609d0,5.476190476,21,2.952380952,21
e5a3438891c0bfdb9394643f95273d8e,5.495327103,214,3.509345794,214
07e8e8fc5222bb358e6f259da3197074,5.5,2,3.5,2
0aea4c6ae1505b3228ddf3dd7822ee5b,5.5,8,1.25,8
119c7f1a00ef43fad0e57604e76a747c,5.5,2,0.5,2
253c025bab43881055aeecde5e2d8b77,5.5,2,3,2
2f9b7ce230a057a98a9f5df5893ee36c,5.5,2,4.5,2
4342d4b2ba6b161468c63a7e7cfce593,5.5,2,3.5,2
553a440137d6e0cf776aee0bb83ac9f5,5.5,2,5.5,2
55f7a3319d80f7fdf078b8f03e6725fe,5.5,22,1.363636364,22
6eeed17989b0ae47c9f11ece6f38ea90,5.5,2,1,2
76833248bbc0e65a0293ec62023e4396,5.5,2,8.5,2
7c4adcc13272c0e26fa23aac642adb7b,5.5,2,2.5,2
8a40ae794fa3f9892cee24bd5af0488b,5.5,6,5.333333333,6
9da1ca0bef29ee170e541927a5aeabdc,5.5,6,1.833333333,6
a13aaf2d2886ab9fb30fb9a920160b8f,5.5,4,0.25,4
a3b0df0065e264a91b7bbf5f844af5cd,5.5,2,4,2
c6381b1321d7d97717a5bb4ed5b77882,5.5,2,1.5,2
e5f9e61ceb5f523cc966e0f34095032f,5.5,4,6.5,4
f7315bb81aea4ddca2d39e249a801c98,5.5,2,0,2
1ca7077d890b907f89be8c954a02686a,5.509433962,106,5.235849057,106
2a61c271b1ac763450d846849783e922,5.555555556,18,1.5,18
2c9e548be18521d1c43cde1c582c6de8,5.60483871,124,1.540322581,124
28f10b1c5e5abb9d4857745bede6147c,5.607142857,28,1.25,28
2d2322d842118867781fc737e96d59a1,5.625,8,1.5,8
bf84056e679dbe9c69929847a40e338f,5.657142857,35,3.628571429,35
0ec28cec4046a4a199b6de9b4c891d97,5.666666667,3,3,3
52f0fe436a347ddad7ed5f9aa4e27eaa,5.666666667,18,3.5,18
5bc55dbe2f12b6af6d83ed46023e0dc8,5.666666667,15,3.6,15
9e6967d3cf386d284251784b18ccb485,5.666666667,9,2.111111111,9
cf654707ed6a99f112c7ec3d6f314b8b,5.666666667,3,3.666666667,3
218f991754f360af9c2daa5e0b8e990c,5.714285714,14,2.857142857,14
70bf57d811208f8923b41bbd499a67a4,5.714285714,7,1.428571429,7
39c763cca83e654764b7a4a650fb9b7c,5.818181818,11,1.727272727,11
50770d25768b0486d89be26afca3108f,5.833333333,6,2.333333333,6
